cites,doi,results
64,Safety%C2%A0and%C2%A0immunogenicity%C2%A0of%C2%A0two%C2%A0novel%C2%A0type%C2%A02%C2%A0oral%C2%A0poliovirus%C2%A0vaccine%C2%A0candidates%C2%A0compared%C2%A0with%C2%A0a%C2%A0monovalent%C2%A0type%C2%A02%C2%A0oral%C2%A0poliovirus%C2%A0vaccine%C2%A0in%C2%A0children%C2%A0and%C2%A0infants:%C2%A0two%C2%A0clinical%C2%A0trials,9
5183,"%22Safety%20and%20efficacy%20of%20the%20ChAdOx1%20nCoV-19%20vaccine%20(AZD1222)%20against%20SARS-CoV-2:%20an%20interim%20analysis%20of%20four%20randomised%20controlled%20trials%20in%20Brazil,%20South%20Africa,%20and%20the%20UK%22",10
1249,The%202020%20report%20of%20The%C2%A0Lancet%C2%A0Countdown%20on%20health%20and%20climate%20change:%20responding%20to%20converging%20crises,1
4567,RETRACTED:%206-month%20consequences%20of%20COVID-19%20in%20patients%20discharged%20from%20hospital:%20a%20cohort%20study,1
179,"%22Rituximab%20versus%20tocilizumab%20in%20anti-TNF%20inadequate%20responder%20patients%20with%20rheumatoid%20arthritis%20(R4RA):%2016-week%20outcomes%20of%20a%20stratified,%20biopsy-driven,%20multicentre,%20open-label,%20phase%204%20randomised%20controlled%20trial%22",1
105,"%22Global%20variation%20in%20postoperative%20mortality%20and%20complications%20after%20cancer%20surgery:%20a%20multicentre,%20prospective%20cohort%20study%20in%2082%20countries%22",1
184,"%22Bimekizumab%20versus%20ustekinumab%20for%20the%20treatment%20of%20moderate%20to%20severe%20plaque%20psoriasis%20(BE%20VIVID):%20efficacy%20and%20safety%20from%20a%2052-week,%20multicentre,%20double-blind,%20active%20comparator%20and%20placebo%20controlled%20phase%203%20trial%22",1
517,"%22Cemiplimab%20monotherapy%20for%20first-line%20treatment%20of%20advanced%20non-small-cell%20lung%20cancer%20with%20PD-L1%20of%20at%20least%2050%:%20a%20multicentre,%20open-label,%20global,%20phase%203,%20randomised,%20controlled%20trial%22",1
1975,Safety%20and%20efficacy%20of%20an%20rAd26%20and%20rAd5%20vector-based%20heterologous%20prime-boost%20COVID-19%20vaccine:%20an%20interim%20analysis%20of%20a%20randomised%20controlled%20phase%203%20trial%20in%20Russia,10
564,"%22%5B177Lu%5DLu-PSMA-617%20versus%20cabazitaxel%20in%20patients%20with%20metastatic%20castration-resistant%20prostate%20cancer%20(TheraP):%20a%20randomised,%20open-label,%20phase%202%20trial%22",6
485,Endometriosis%20is%20a%20chronic%20systemic%20disease:%20clinical%20challenges%20and%20novel%20innovations,1
